prop_name,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region,district,facility_count,has_pool,has_gym,additional_facility_count,near_rail,has_ac,cooking_allowed,has_internet,rent
Residensi KepongMas,Apartment,3.0,2.0,2.0,800.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Kepong,5,1,1,3,1,1,1,0,1100.0
Bayu Sentul Condominium,Condominium,3.0,2.0,2.0,1300.0,1,"Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur,Sentul,13,1,1,2,0,0,1,0,1700.0
Vista Angkasa,Apartment,3.0,1.0,2.0,1200.0,1,"Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur,Bangsar South,9,1,0,2,1,0,1,0,1800.0
The Nest Residence @ Genting Klang,Service Residence,3.0,1.0,2.0,770.0,2,"Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,Kuala Lumpur,Setapak,9,1,1,1,0,1,0,0,1600.0
Sky Awani 3 Residence Setpak,Service Residence,3.0,2.0,2.0,800.0,2,"Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur,Setapak,7,1,1,3,1,1,1,0,1600.0
M Centura,Service Residence,3.0,2.0,2.0,850.0,1,,"Cooking Allowed, Air-Cond",Kuala Lumpur,Sentul,1,0,0,2,0,1,1,0,1650.0
M Centura,Service Residence,2.0,1.0,1.0,646.0,0,"Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",,Kuala Lumpur,Sentul,7,1,1,1,0,0,0,0,1200.0
OG Heights,Condominium,2.0,1.0,2.0,1000.0,1,"Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Pantai,5,0,0,4,1,1,1,0,1200.0
8 Petaling,Condominium,4.0,3.0,5.0,1899.0,2,"Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Sri Petaling,6,1,1,4,1,1,1,0,2599.0
Delima J Apartment,Apartment,3.0,1.0,2.0,1000.0,1,"Playground, Security","Air-Cond, Cooking Allowed",Kuala Lumpur,Desa Pandan,2,0,0,2,0,1,1,0,1400.0
Lexa Residence @ The Quartz WM,Service Residence,4.0,0.0,2.0,877.0,2,,,Kuala Lumpur,Wangsa Maju,0,0,0,1,0,0,0,0,2600.0
The Nest Residence @ Genting Klang,Service Residence,1.0,1.0,1.0,360.0,2,"Swimming Pool, Minimart, Tennis Court, Squash Court, Playground, Gymnasium, Jogging Track, Security, Lift",,Kuala Lumpur,Setapak,9,1,1,1,0,0,0,0,900.0
Hedgeford 10 Residences @ Wangsa Maju,Service Residence,1.0,1.0,1.0,521.0,1,"Security, Swimming Pool, Jogging Track, Sauna, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur,Wangsa Maju,5,1,0,3,0,1,1,0,1200.0
The Establishment,Service Residence,1.0,1.0,1.0,468.0,2,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur,Brickfields,1,0,0,4,1,1,1,0,2500.0
